epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,439.465,1.12866,0.52919,0.82182,0.90286,0.64484,0.7792,0.59562,0.74791,0.48071,0.80441,0.000379743,0.000379743,0.000379743
80,444.352,1.12979,0.5328,0.81898,0.92899,0.65032,0.78546,0.60774,0.73749,0.46466,0.79965,0.000363239,0.000363239,0.000363239
81,450.413,1.12124,0.53306,0.80996,0.88925,0.66369,0.77788,0.59965,0.70874,0.47396,0.8022,0.000346736,0.000346736,0.000346736
82,455.124,1.11174,0.52803,0.83668,0.89436,0.66497,0.79675,0.61371,0.72556,0.45776,0.80339,0.000330233,0.000330233,0.000330233
83,460.165,1.12393,0.54479,0.81879,0.88966,0.67079,0.78537,0.59124,0.73905,0.4967,0.80229,0.000313729,0.000313729,0.000313729
84,465.174,1.11148,0.5311,0.81132,0.93861,0.65082,0.7896,0.6047,0.71733,0.46662,0.80056,0.000297226,0.000297226,0.000297226
85,470.076,1.13593,0.54052,0.81953,0.88432,0.66408,0.78893,0.59502,0.71139,0.46651,0.79984,0.000280723,0.000280723,0.000280723
86,475.376,1.09707,0.5228,0.81227,0.8792,0.66241,0.78147,0.59882,0.699,0.46129,0.79931,0.00026422,0.00026422,0.00026422
87,481.776,1.09889,0.53115,0.81698,0.91287,0.65478,0.78506,0.60356,0.71305,0.45156,0.80098,0.000247716,0.000247716,0.000247716
88,486.717,1.09448,0.51495,0.81879,0.8576,0.67377,0.77923,0.59177,0.73209,0.48503,0.80092,0.000231213,0.000231213,0.000231213
89,491.891,1.10446,0.5293,0.82495,0.87897,0.66051,0.78752,0.60105,0.70296,0.45771,0.79736,0.00021471,0.00021471,0.00021471
90,496.542,1.04443,0.50385,0.81575,0.91422,0.65541,0.79141,0.60093,0.68666,0.452,0.79749,0.000198206,0.000198206,0.000198206
91,502.107,1.1049,0.50885,0.81485,0.88314,0.65974,0.79119,0.60401,0.6943,0.44549,0.79999,0.000181703,0.000181703,0.000181703
92,507.251,1.09325,0.50606,0.80984,0.8763,0.66624,0.78475,0.60413,0.68552,0.45791,0.79935,0.0001652,0.0001652,0.0001652
93,523.736,1.10643,0.51257,0.80563,0.8945,0.65605,0.78736,0.6114,0.69632,0.44763,0.79706,0.000148696,0.000148696,0.000148696
94,528.203,1.11333,0.51229,0.8285,0.89595,0.65268,0.78864,0.6052,0.70219,0.45224,0.79796,0.000132193,0.000132193,0.000132193
95,533.04,1.10604,0.50693,0.80624,0.89532,0.65658,0.78909,0.61141,0.6824,0.44885,0.79913,0.00011569,0.00011569,0.00011569
96,537.926,1.08356,0.50371,0.80501,0.8992,0.65355,0.79265,0.61305,0.68717,0.44207,0.79852,9.91865e-05,9.91865e-05,9.91865e-05
97,543.14,1.09265,0.50328,0.80891,0.90194,0.65113,0.79989,0.6218,0.67861,0.43423,0.79523,8.26832e-05,8.26832e-05,8.26832e-05
98,549.69,1.07785,0.5069,0.80226,0.89891,0.65046,0.79713,0.61956,0.6847,0.43004,0.79526,6.61799e-05,6.61799e-05,6.61799e-05
99,554.192,1.08471,0.49768,0.80584,0.89763,0.65621,0.7966,0.6239,0.67141,0.42761,0.79624,4.96766e-05,4.96766e-05,4.96766e-05
100,559.047,1.07046,0.48762,0.79844,0.89547,0.65605,0.79774,0.62089,0.66957,0.43482,0.79693,3.31733e-05,3.31733e-05,3.31733e-05
